source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,valid_segment_id,raw_pelvis_mid_x,raw_pelvis_mid_y,roi_center_x,roi_center_y,roi_x,roi_y,roi_width,roi_height
70,70,1166.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,711.2376976013184,371.55057525634766,711.1224489795918,370.0,586.4285714285714,242.0408163265306,249.3877551020408,255.91836734693877
71,71,1183.3333333333333,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,726.4135131835938,369.5350456237793,704.8979591836735,376.42857142857144,580.7142857142858,255.91836734693877,248.36734693877548,241.0204081632653
72,72,1200.0,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,721.982795715332,368.91826248168945,698.6734693877551,382.85714285714283,575.0,269.7959183673469,247.34693877551018,226.1224489795918
73,73,1216.6666666666663,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,724.2323989868164,363.2040596008301,692.4489795918367,389.2857142857143,569.2857142857143,283.6734693877551,246.32653061224485,211.22448979591834
74,74,1233.3333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,733.9420471191406,400.5169677734375,686.2244897959183,395.71428571428567,563.5714285714286,297.55102040816325,245.30612244897955,196.32653061224488
75,75,1250.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,729.4126358032227,445.4366149902344,680.0,402.1428571428571,557.8571428571429,311.42857142857144,244.28571428571422,181.4285714285714
76,76,1266.6666666666663,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,726.5148620605469,413.2059097290039,675.6696428571429,405.53571428571433,551.3392857142858,317.2321428571429,248.66071428571422,176.60714285714283
77,77,1283.3333333333337,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,723.3233795166016,397.2157897949219,671.3392857142857,408.9285714285714,544.8214285714286,323.0357142857143,253.03571428571422,171.78571428571425
78,78,1300.0,INVALID_TRACK_SEGMENT,Valid-looking pose segment is too short to establish target identity continuity.,,713.8142013549805,361.632155418396,667.0089285714286,412.32142857142856,538.3035714285714,328.8392857142857,257.4107142857142,166.96428571428567
79,79,1316.6666666666667,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,,714.2366104125977,373.5703201293946,662.6785714285714,415.7142857142857,531.7857142857143,334.64285714285717,261.7857142857142,162.1428571428571
